city,category,year,count,region,total_count,cumulative_count
Nashik,killed,2013,134,non_metro,695,289
Patna,killed,2013,514,non_metro,2284,1530
Pune,killed,2013,399,metro,1707,870
Raipur,killed,2013,394,non_metro,1646,756
Rajkot,killed,2013,119,non_metro,742,442
Srinagar,killed,2013,58,non_metro,318,197
Surat,killed,2013,227,non_metro,1228,704
Thiruvananthapuram,killed,2013,195,non_metro,701,362
Thrissur,killed,2013,133,non_metro,618,401
Tiruchirapalli,killed,2013,129,non_metro,612,271
Vadodara,killed,2013,183,non_metro,972,526
Varanasi,killed,2013,217,non_metro,940,506
Vijayawada City,killed,2013,339,non_metro,1429,715
Visakhapatnam,killed,2013,411,non_metro,1924,1209
Agra,injured,2013,750,non_metro,3868,2471
Ahmedabad,injured,2013,1855,non_metro,9055,5736
Allahabad,injured,2013,813,non_metro,2842,1386
Amritsar,injured,2013,76,non_metro,361,147
Asansol-Durgapur,injured,2013,404,non_metro,1408,904
Aurangabad,injured,2013,547,non_metro,3188,1940
Bengaluru,injured,2013,4334,metro,21968,13813
Bhopal,injured,2013,2615,non_metro,14041,8661
Chandigarh,injured,2013,335,non_metro,1348,682
Chennai,injured,2013,8700,metro,34003,17328
Coimbatore,injured,2013,1138,non_metro,6058,3200
Delhi,injured,2013,7098,metro,37498,20957
Dhanbad,injured,2013,551,non_metro,1062,848
Faridabad,injured,2013,507,non_metro,2644,1639
Ghaziabad,injured,2013,667,non_metro,3509,2194
Gwalior,injured,2013,1470,non_metro,7863,4530
Hyderabad,injured,2013,2237,metro,12179,7236
Indore,injured,2013,4407,non_metro,22412,12879
Jabalpur,injured,2013,2639,non_metro,14464,8174
Jaipur,injured,2013,1525,non_metro,8430,5076
Jamshedpur,injured,2013,384,non_metro,1502,1010
Jodhpur,injured,2013,536,non_metro,2702,1497
Kannur,injured,2013,737,non_metro,4089,2384
Kanpur,injured,2013,923,non_metro,3899,1881
Khozikode,injured,2013,1298,non_metro,5569,2749
Kochi,injured,2013,2219,non_metro,11643,6658
Kolkata,injured,2013,3577,metro,16146,9213
Kollam,injured,2013,1659,non_metro,8748,5379
Kota,injured,2013,784,non_metro,3665,2181
Lucknow,injured,2013,762,non_metro,3923,2265
Ludhiana,injured,2013,291,non_metro,1325,730
Madurai,injured,2013,668,non_metro,3823,2159
Mallapuram,injured,2013,3249,non_metro,16956,10387
Meerut,injured,2013,774,non_metro,3923,2286
Mumbai,injured,2013,4250,metro,21819,13852
Nagpur,injured,2013,1237,non_metro,5677,3353
Nashik,injured,2013,616,non_metro,2250,1077
Patna,injured,2013,567,non_metro,2771,1699
Pune,injured,2013,1503,metro,5715,3108
Raipur,injured,2013,1315,non_metro,5756,2873
Rajkot,injured,2013,761,non_metro,4192,2786
Srinagar,injured,2013,477,non_metro,2382,1527
Surat,injured,2013,740,non_metro,4038,2448
Thiruvananthapuram,injured,2013,2341,non_metro,9616,4585
Thrissur,injured,2013,1400,non_metro,7118,4163
Tiruchirapalli,injured,2013,701,non_metro,3204,1565
Vadodara,injured,2013,1051,non_metro,5004,3030
Varanasi,injured,2013,199,non_metro,843,428
Vijayawada City,injured,2013,1464,non_metro,6036,2910
Visakhapatnam,injured,2013,1229,non_metro,6247,3578
Agra,total_accidents,2014,995,non_metro,5367,4224
Ahmedabad,total_accidents,2014,1642,non_metro,9237,7400
Allahabad,total_accidents,2014,1101,non_metro,4178,3159
Amritsar,total_accidents,2014,165,non_metro,602,452
Asansol-Durgapur,total_accidents,2014,443,non_metro,2070,1624
Aurangabad,total_accidents,2014,560,non_metro,3213,2559
Bengaluru,total_accidents,2014,5004,metro,26592,21758
Bhopal,total_accidents,2014,3459,non_metro,17456,13835
Chandigarh,total_accidents,2014,369,non_metro,1614,1198
Chennai,total_accidents,2014,9610,metro,36306,28978
Coimbatore,total_accidents,2014,1594,non_metro,6661,5148
Delhi,total_accidents,2014,8623,metro,38492,30407
Dhanbad,total_accidents,2014,106,non_metro,986,872
Faridabad,total_accidents,2014,719,non_metro,3615,2946
Ghaziabad,total_accidents,2014,897,non_metro,4556,3730
Gwalior,total_accidents,2014,1959,non_metro,10037,7897
Hyderabad,total_accidents,2014,2908,metro,13488,10727
Indore,total_accidents,2014,5784,non_metro,27601,21728
Jabalpur,total_accidents,2014,3124,non_metro,15262,11888
Jaipur,total_accidents,2014,1920,non_metro,9402,7508
Jamshedpur,total_accidents,2014,238,non_metro,1838,1491
Jodhpur,total_accidents,2014,553,non_metro,2812,2134
Kannur,total_accidents,2014,570,non_metro,2962,2338
Kanpur,total_accidents,2014,1251,non_metro,5273,3777
Khozikode,total_accidents,2014,1177,non_metro,5085,3598
Kochi,total_accidents,2014,2257,non_metro,11332,8771
Kolkata,total_accidents,2014,4561,metro,20415,16068
Kollam,total_accidents,2014,1703,non_metro,8272,6711
Kota,total_accidents,2014,768,non_metro,3436,2691
Lucknow,total_accidents,2014,1356,non_metro,6453,5082
Ludhiana,total_accidents,2014,475,non_metro,2357,1868
Madurai,total_accidents,2014,691,non_metro,3947,2910
Mallapuram,total_accidents,2014,2719,non_metro,13659,10777
Meerut,total_accidents,2014,1047,non_metro,4701,3739
Mumbai,total_accidents,2014,22570,metro,119613,96145
Nagpur,total_accidents,2014,1149,non_metro,5982,4728
Nashik,total_accidents,2014,1070,non_metro,4521,3220
Patna,total_accidents,2014,1193,non_metro,5482,4817
Pune,total_accidents,2014,1572,metro,6587,5144
Raipur,total_accidents,2014,2097,non_metro,8750,6561
Rajkot,total_accidents,2014,770,non_metro,4366,3586
Srinagar,total_accidents,2014,374,non_metro,2285,1850
Surat,total_accidents,2014,974,non_metro,5217,4314
Thiruvananthapuram,total_accidents,2014,2007,non_metro,8139,5940
Thrissur,total_accidents,2014,1317,non_metro,6570,5164
Tiruchirapalli,total_accidents,2014,711,non_metro,2958,2130
Vadodara,total_accidents,2014,1161,non_metro,6034,4870
Varanasi,total_accidents,2014,411,non_metro,1772,1348
Vijayawada City,total_accidents,2014,1669,non_metro,6409,4765
Visakhapatnam,total_accidents,2014,1565,non_metro,7737,6100
Agra,killed,2014,503,non_metro,2538,2064
Ahmedabad,killed,2014,262,non_metro,1298,970
